,response,knowledge
6707," The speaker has an appointment with poyou's daughter.
"," The speaker scheduled an appointment with poyu on the same day his daughter asked him about it.
"
6708," The speaker told the listener that he had to reach the doctor's clinic on time.
"," The speaker would show the interview letter to the listener.
"
6709," The speaker told the listener that he had to reach the doctor's clinic on time.
"," The speaker would show the interview letter to the listener.
"
6710," The speaker is not able to sleep due to the noise coming from the next room.
"," The speaker is in a hotel room and is unable to sleep.
"
6711," The speaker told the listener to tell the noise in the next room to be quiet.
"," The listener will feel sorry about the guest's complaint about the neighboring room.
"
6712," The speaker told the listener that he was not able to sleep due to the noise.
"," The listener will feel sorry about the guest's complaint about the neighboring room.
"
6713," The speaker is annoyed by the noise coming from the next room.
"," The speaker is sorry for the inconvenience caused to the listener by her.
"
6714," The speaker and the listener are staying in the same room.
"," Someone else lives in the next room.
"
6715," The listener checks the room number of the speaker.
"," The listener verifies the room number from the speaker.
"
6716," The speaker asks the listener about the name of the neighbor.
"," The listener verifies the room number from the speaker.
"
6717," The listener asked the speaker if she was referring to room 1818.
"," The speaker had a very busy day due to which she was very tired.
"
6718," The speaker asked the listener about the room number of the listener.
"," The speaker would tell the listener reason of his stress.
"
6719," The speaker told the listener that the noise was coming from the speaker's room.
"," The speaker would tell the listener reason of his stress.
"
6720," The speaker is annoyed by the noise coming from the next room.
"," The speaker is unsure where the noise is coming from and feels helpless to sleep properly because of the noise.
"
6721," The noise of the birds disturbs the listener's sleep.
"," The hotel has a prompt action policy for any kind of inconvenience.
"
6722," The speaker told the listener to tell the noise of the birds to stop.
"," The speaker would check the concerned problem.
"
6723," The speaker told the listener to tell the neighbors to be quiet.
"," The speaker would check the concerned problem.
"
6724," The speaker is concerned about the noise coming from the next room.
"," The speaker is responsible for his duties.
"
6725," The listener is happy to help the speaker.
"," The listener is expecting that he will talk to his supervisor to change the speaker's accommodation.
"
6726," The speaker has misplaced his mp4 player.
"," The mp4 player has been lost.
"
